Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 2488.39, -121.851, 35.4163, 4.025
120, 2.00000, 5.43001E-015, 164.156, 8.31929E-015, -117.666
180, 3.00000, 13.7047, -55.0897, 0.290846, -63.738
240, 4.00000, 2.62643E-014, 172.067, 4.94305E-015, -32.38
300, 5.00000, 195.859, 18.4079, 7.42361, -121.925
360, 6.00000, 3.28238E-015, 130.022, 1.37954E-015, -96.844
420, 7.00000, 348.645, 5.48289, 3.39359, -126.175
480, 8.00000, 1.01892E-014, 18.6863, 8.41066E-015, -141.543
540, 9.00000, 4.70692, -63.0512, 0.151571, -113.225
600, 10.00000, 5.54448E-015, 82.4204, 2.85696E-015, -95.157
660, 11.00000, 59.9538, 73.6232, 2.34389, -123.965
720, 12.00000, 2.44108E-015, 164.949, 4.11892E-015, 14.64
780, 13.00000, 30.4368, 65.5014, 1.29882, -74.345
840, 14.00000, 1.50878E-014, -159.763, 2.78117E-015, -33.517
900, 15.00000, 0.0360542, 106.918, 0.0287524, -14.532
